workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
large,50000,16,1000000,100000,1,par_close,0,4,16,276.2948
large,50000,16,1000000,100000,1,par_close,1,4,16,280.1092
large,50000,16,1000000,100000,1,par_close,2,4,16,283.7872
large,50000,16,1000000,100000,1,par_close,3,4,16,284.6377
large,50000,16,1000000,100000,1,par_close,4,4,16,281.7731
deep-s,1000,4,10000,2000,3,nelson_seq,0,4,16,3.9639
deep-s,1000,4,10000,2000,3,nelson_seq,1,4,16,2.2704
deep-s,1000,4,10000,2000,3,nelson_seq,2,4,16,2.2289
deep-s,1000,4,10000,2000,3,nelson_seq,3,4,16,2.2292
deep-s,1000,4,10000,2000,3,nelson_seq,4,4,16,2.5976
deep-s,1000,4,10000,2000,3,par_close,0,4,16,3.9240
deep-s,1000,4,10000,2000,3,par_close,1,4,16,3.8321
deep-s,1000,4,10000,2000,3,par_close,2,4,16,3.9560
deep-s,1000,4,10000,2000,3,par_close,3,4,16,3.8285
deep-s,1000,4,10000,2000,3,par_close,4,4,16,3.8870
deep-m,10000,8,200000,20000,3,nelson_seq,0,4,16,74.7750
deep-m,10000,8,200000,20000,3,nelson_seq,1,4,16,72.7605
deep-m,10000,8,200000,20000,3,nelson_seq,2,4,16,76.7395
deep-m,10000,8,200000,20000,3,nelson_seq,3,4,16,73.1427
deep-m,10000,8,200000,20000,3,nelson_seq,4,4,16,73.8471
deep-m,10000,8,200000,20000,3,par_close,0,4,16,41.4283
deep-m,10000,8,200000,20000,3,par_close,1,4,16,41.5664
deep-m,10000,8,200000,20000,3,par_close,2,4,16,42.3636
deep-m,10000,8,200000,20000,3,par_close,3,4,16,40.1569
deep-m,10000,8,200000,20000,3,par_close,4,4,16,40.1834
deep-l,50000,16,1000000,100000,3,nelson_seq,0,4,16,879.1546
deep-l,50000,16,1000000,100000,3,nelson_seq,1,4,16,861.7056
deep-l,50000,16,1000000,100000,3,nelson_seq,2,4,16,865.1473
deep-l,50000,16,1000000,100000,3,nelson_seq,3,4,16,863.5835
deep-l,50000,16,1000000,100000,3,nelson_seq,4,4,16,864.5298
deep-l,50000,16,1000000,100000,3,par_close,0,4,16,295.3457
deep-l,50000,16,1000000,100000,3,par_close,1,4,16,288.3862
deep-l,50000,16,1000000,100000,3,par_close,2,4,16,292.1176
deep-l,50000,16,1000000,100000,3,par_close,3,4,16,293.2381
deep-l,50000,16,1000000,100000,3,par_close,4,4,16,290.4906
small,1000,4,10000,2000,1,nelson_seq,0,8,16,2.9197
small,1000,4,10000,2000,1,nelson_seq,1,8,16,2.9037
small,1000,4,10000,2000,1,nelson_seq,2,8,16,3.0602
small,1000,4,10000,2000,1,nelson_seq,3,8,16,2.9228
small,1000,4,10000,2000,1,nelson_seq,4,8,16,2.9298
small,1000,4,10000,2000,1,par_close,0,8,16,2.6092
small,1000,4,10000,2000,1,par_close,1,8,16,2.3341
small,1000,4,10000,2000,1,par_close,2,8,16,2.4777
small,1000,4,10000,2000,1,par_close,3,8,16,2.3373
small,1000,4,10000,2000,1,par_close,4,8,16,2.5017
medium,10000,8,200000,20000,1,nelson_seq,0,8,16,67.3557
medium,10000,8,200000,20000,1,nelson_seq,1,8,16,66.4543
medium,10000,8,200000,20000,1,nelson_seq,2,8,16,66.8600
medium,10000,8,200000,20000,1,nelson_seq,3,8,16,67.2253
medium,10000,8,200000,20000,1,nelson_seq,4,8,16,64.3056
medium,10000,8,200000,20000,1,par_close,0,8,16,26.5313
medium,10000,8,200000,20000,1,par_close,1,8,16,28.6090
medium,10000,8,200000,20000,1,par_close,2,8,16,27.6007
medium,10000,8,200000,20000,1,par_close,3,8,16,27.0522
medium,10000,8,200000,20000,1,par_close,4,8,16,26.1164
large,50000,16,1000000,100000,1,nelson_seq,0,8,16,938.9866
large,50000,16,1000000,100000,1,nelson_seq,1,8,16,921.8735
large,50000,16,1000000,100000,1,nelson_seq,2,8,16,929.9056
large,50000,16,1000000,100000,1,nelson_seq,3,8,16,918.7008
large,50000,16,1000000,100000,1,nelson_seq,4,8,16,936.6020
large,50000,16,1000000,100000,1,par_close,0,8,16,154.1604
large,50000,16,1000000,100000,1,par_close,1,8,16,155.6487
large,50000,16,1000000,100000,1,par_close,2,8,16,154.2834
large,50000,16,1000000,100000,1,par_close,3,8,16,151.6624
large,50000,16,1000000,100000,1,par_close,4,8,16,153.5374
deep-s,1000,4,10000,2000,3,nelson_seq,0,8,16,2.5831
deep-s,1000,4,10000,2000,3,nelson_seq,1,8,16,2.6145
deep-s,1000,4,10000,2000,3,nelson_seq,2,8,16,2.6168
deep-s,1000,4,10000,2000,3,nelson_seq,3,8,16,2.6499
deep-s,1000,4,10000,2000,3,nelson_seq,4,8,16,2.6103
deep-s,1000,4,10000,2000,3,par_close,0,8,16,4.4102
deep-s,1000,4,10000,2000,3,par_close,1,8,16,4.2952
deep-s,1000,4,10000,2000,3,par_close,2,8,16,4.4475
deep-s,1000,4,10000,2000,3,par_close,3,8,16,4.4789
deep-s,1000,4,10000,2000,3,par_close,4,8,16,4.4881
deep-m,10000,8,200000,20000,3,nelson_seq,0,8,16,80.5326
deep-m,10000,8,200000,20000,3,nelson_seq,1,8,16,80.9072
deep-m,10000,8,200000,20000,3,nelson_seq,2,8,16,83.6476
deep-m,10000,8,200000,20000,3,nelson_seq,3,8,16,80.4067
deep-m,10000,8,200000,20000,3,nelson_seq,4,8,16,81.0351
deep-m,10000,8,200000,20000,3,par_close,0,8,16,34.8797
deep-m,10000,8,200000,20000,3,par_close,1,8,16,35.1833
deep-m,10000,8,200000,20000,3,par_close,2,8,16,44.5737
deep-m,10000,8,200000,20000,3,par_close,3,8,16,42.6889
deep-m,10000,8,200000,20000,3,par_close,4,8,16,38.4340
deep-l,50000,16,1000000,100000,3,nelson_seq,0,8,16,840.5321
deep-l,50000,16,1000000,100000,3,nelson_seq,1,8,16,838.4847
deep-l,50000,16,1000000,100000,3,nelson_seq,2,8,16,836.7823
deep-l,50000,16,1000000,100000,3,nelson_seq,3,8,16,839.5693
deep-l,50000,16,1000000,100000,3,nelson_seq,4,8,16,846.5067
deep-l,50000,16,1000000,100000,3,par_close,0,8,16,172.3964
deep-l,50000,16,1000000,100000,3,par_close,1,8,16,171.6848
deep-l,50000,16,1000000,100000,3,par_close,2,8,16,171.4860
deep-l,50000,16,1000000,100000,3,par_close,3,8,16,171.5102
deep-l,50000,16,1000000,100000,3,par_close,4,8,16,173.2178
small,1000,4,10000,2000,1,nelson_seq,0,16,16,2.9698
small,1000,4,10000,2000,1,nelson_seq,1,16,16,2.9510
small,1000,4,10000,2000,1,nelson_seq,2,16,16,2.9409
small,1000,4,10000,2000,1,nelson_seq,3,16,16,2.9540
small,1000,4,10000,2000,1,nelson_seq,4,16,16,3.0987
small,1000,4,10000,2000,1,par_close,0,16,16,2.0844
small,1000,4,10000,2000,1,par_close,1,16,16,2.3470
small,1000,4,10000,2000,1,par_close,2,16,16,1.8914
small,1000,4,10000,2000,1,par_close,3,16,16,1.9489
small,1000,4,10000,2000,1,par_close,4,16,16,1.9894
medium,10000,8,200000,20000,1,nelson_seq,0,16,16,141.4608
medium,10000,8,200000,20000,1,nelson_seq,1,16,16,153.7556
medium,10000,8,200000,20000,1,nelson_seq,2,16,16,112.3886
medium,10000,8,200000,20000,1,nelson_seq,3,16,16,106.0587
medium,10000,8,200000,20000,1,nelson_seq,4,16,16,104.4341
medium,10000,8,200000,20000,1,par_close,0,16,16,19.3451
medium,10000,8,200000,20000,1,par_close,1,16,16,20.0765
medium,10000,8,200000,20000,1,par_close,2,16,16,19.9179
medium,10000,8,200000,20000,1,par_close,3,16,16,18.3389
medium,10000,8,200000,20000,1,par_close,4,16,16,21.0644
large,50000,16,1000000,100000,1,nelson_seq,0,16,16,934.9454
large,50000,16,1000000,100000,1,nelson_seq,1,16,16,934.2203
large,50000,16,1000000,100000,1,nelson_seq,2,16,16,934.1439
large,50000,16,1000000,100000,1,nelson_seq,3,16,16,930.5370
large,50000,16,1000000,100000,1,nelson_seq,4,16,16,932.6527
large,50000,16,1000000,100000,1,par_close,0,16,16,90.8344
large,50000,16,1000000,100000,1,par_close,1,16,16,85.1315
large,50000,16,1000000,100000,1,par_close,2,16,16,92.3267
large,50000,16,1000000,100000,1,par_close,3,16,16,83.7644
large,50000,16,1000000,100000,1,par_close,4,16,16,88.0091
deep-s,1000,4,10000,2000,3,nelson_seq,0,16,16,2.7689
deep-s,1000,4,10000,2000,3,nelson_seq,1,16,16,2.7802
deep-s,1000,4,10000,2000,3,nelson_seq,2,16,16,2.6895
deep-s,1000,4,10000,2000,3,nelson_seq,3,16,16,2.7050
deep-s,1000,4,10000,2000,3,nelson_seq,4,16,16,2.7158
deep-s,1000,4,10000,2000,3,par_close,0,16,16,4.0529
deep-s,1000,4,10000,2000,3,par_close,1,16,16,3.9251
deep-s,1000,4,10000,2000,3,par_close,2,16,16,3.9390
deep-s,1000,4,10000,2000,3,par_close,3,16,16,3.8234
deep-s,1000,4,10000,2000,3,par_close,4,16,16,3.9554
deep-m,10000,8,200000,20000,3,nelson_seq,0,16,16,78.8933
deep-m,10000,8,200000,20000,3,nelson_seq,1,16,16,78.0048
deep-m,10000,8,200000,20000,3,nelson_seq,2,16,16,75.3897
deep-m,10000,8,200000,20000,3,nelson_seq,3,16,16,75.6778
deep-m,10000,8,200000,20000,3,nelson_seq,4,16,16,75.1937
deep-m,10000,8,200000,20000,3,par_close,0,16,16,25.7413
deep-m,10000,8,200000,20000,3,par_close,1,16,16,18.7000
deep-m,10000,8,200000,20000,3,par_close,2,16,16,18.5796
deep-m,10000,8,200000,20000,3,par_close,3,16,16,17.8108
deep-m,10000,8,200000,20000,3,par_close,4,16,16,19.0443
deep-l,50000,16,1000000,100000,3,nelson_seq,0,16,16,840.6989
deep-l,50000,16,1000000,100000,3,nelson_seq,1,16,16,840.9167
deep-l,50000,16,1000000,100000,3,nelson_seq,2,16,16,847.0130
deep-l,50000,16,1000000,100000,3,nelson_seq,3,16,16,849.2803
deep-l,50000,16,1000000,100000,3,nelson_seq,4,16,16,846.4294
deep-l,50000,16,1000000,100000,3,par_close,0,16,16,92.7166
deep-l,50000,16,1000000,100000,3,par_close,1,16,16,88.9328
deep-l,50000,16,1000000,100000,3,par_close,2,16,16,89.6361
deep-l,50000,16,1000000,100000,3,par_close,3,16,16,92.3545
deep-l,50000,16,1000000,100000,3,par_close,4,16,16,94.4883
small,1000,4,10000,2000,1,nelson_seq,0,32,16,2.5322
small,1000,4,10000,2000,1,nelson_seq,1,32,16,2.5601
small,1000,4,10000,2000,1,nelson_seq,2,32,16,2.5441
small,1000,4,10000,2000,1,nelson_seq,3,32,16,2.5444
small,1000,4,10000,2000,1,nelson_seq,4,32,16,2.6449
small,1000,4,10000,2000,1,par_close,0,32,16,3.2728
small,1000,4,10000,2000,1,par_close,1,32,16,2.5910
small,1000,4,10000,2000,1,par_close,2,32,16,2.0026
small,1000,4,10000,2000,1,par_close,3,32,16,1.9267
small,1000,4,10000,2000,1,par_close,4,32,16,1.9745
medium,10000,8,200000,20000,1,nelson_seq,0,32,16,68.2140
medium,10000,8,200000,20000,1,nelson_seq,1,32,16,72.5171
medium,10000,8,200000,20000,1,nelson_seq,2,32,16,94.9263
medium,10000,8,200000,20000,1,nelson_seq,3,32,16,97.5237
medium,10000,8,200000,20000,1,nelson_seq,4,32,16,84.4739
medium,10000,8,200000,20000,1,par_close,0,32,16,13.7532
medium,10000,8,200000,20000,1,par_close,1,32,16,13.7260
medium,10000,8,200000,20000,1,par_close,2,32,16,13.5705
medium,10000,8,200000,20000,1,par_close,3,32,16,14.0789
medium,10000,8,200000,20000,1,par_close,4,32,16,13.3155
large,50000,16,1000000,100000,1,nelson_seq,0,32,16,929.2030
large,50000,16,1000000,100000,1,nelson_seq,1,32,16,922.2508
large,50000,16,1000000,100000,1,nelson_seq,2,32,16,917.9657
large,50000,16,1000000,100000,1,nelson_seq,3,32,16,921.6542
large,50000,16,1000000,100000,1,nelson_seq,4,32,16,931.1751
large,50000,16,1000000,100000,1,par_close,0,32,16,63.7832
