workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
large,50000,16,1000000,100000,1,par_close,4,4,dnc,16,294.4688
deep-s,1000,4,10000,2000,3,nelson_seq,0,4,dnc,16,3.3664
deep-s,1000,4,10000,2000,3,nelson_seq,1,4,dnc,16,3.4378
deep-s,1000,4,10000,2000,3,nelson_seq,2,4,dnc,16,3.3148
deep-s,1000,4,10000,2000,3,nelson_seq,3,4,dnc,16,3.3790
deep-s,1000,4,10000,2000,3,nelson_seq,4,4,dnc,16,3.3518
deep-s,1000,4,10000,2000,3,par_close,0,4,dnc,16,4.3588
deep-s,1000,4,10000,2000,3,par_close,1,4,dnc,16,4.0281
deep-s,1000,4,10000,2000,3,par_close,2,4,dnc,16,4.2169
deep-s,1000,4,10000,2000,3,par_close,3,4,dnc,16,4.1236
deep-s,1000,4,10000,2000,3,par_close,4,4,dnc,16,4.1635
deep-m,10000,8,200000,20000,3,nelson_seq,0,4,dnc,16,135.8638
deep-m,10000,8,200000,20000,3,nelson_seq,1,4,dnc,16,145.8257
deep-m,10000,8,200000,20000,3,nelson_seq,2,4,dnc,16,140.7669
deep-m,10000,8,200000,20000,3,nelson_seq,3,4,dnc,16,140.4814
deep-m,10000,8,200000,20000,3,nelson_seq,4,4,dnc,16,143.2110
deep-m,10000,8,200000,20000,3,par_close,0,4,dnc,16,58.4780
deep-m,10000,8,200000,20000,3,par_close,1,4,dnc,16,58.7312
deep-m,10000,8,200000,20000,3,par_close,2,4,dnc,16,58.4976
deep-m,10000,8,200000,20000,3,par_close,3,4,dnc,16,58.0055
deep-m,10000,8,200000,20000,3,par_close,4,4,dnc,16,57.7267
deep-l,50000,16,1000000,100000,3,nelson_seq,0,4,dnc,16,853.9062
deep-l,50000,16,1000000,100000,3,nelson_seq,1,4,dnc,16,855.5535
deep-l,50000,16,1000000,100000,3,nelson_seq,2,4,dnc,16,851.8756
deep-l,50000,16,1000000,100000,3,nelson_seq,3,4,dnc,16,860.3612
deep-l,50000,16,1000000,100000,3,nelson_seq,4,4,dnc,16,855.2207
deep-l,50000,16,1000000,100000,3,par_close,0,4,dnc,16,247.7177
deep-l,50000,16,1000000,100000,3,par_close,1,4,dnc,16,248.1091
deep-l,50000,16,1000000,100000,3,par_close,2,4,dnc,16,248.7625
deep-l,50000,16,1000000,100000,3,par_close,3,4,dnc,16,251.7149
deep-l,50000,16,1000000,100000,3,par_close,4,4,dnc,16,254.6868
small,1000,4,10000,2000,1,nelson_seq,0,8,dnc,16,4.1152
small,1000,4,10000,2000,1,nelson_seq,1,8,dnc,16,4.2694
small,1000,4,10000,2000,1,nelson_seq,2,8,dnc,16,4.2735
small,1000,4,10000,2000,1,nelson_seq,3,8,dnc,16,4.0490
small,1000,4,10000,2000,1,nelson_seq,4,8,dnc,16,4.0853
small,1000,4,10000,2000,1,par_close,0,8,dnc,16,3.6984
small,1000,4,10000,2000,1,par_close,1,8,dnc,16,3.6383
small,1000,4,10000,2000,1,par_close,2,8,dnc,16,3.6232
small,1000,4,10000,2000,1,par_close,3,8,dnc,16,3.4837
small,1000,4,10000,2000,1,par_close,4,8,dnc,16,3.5128
medium,10000,8,200000,20000,1,nelson_seq,0,8,dnc,16,138.0417
medium,10000,8,200000,20000,1,nelson_seq,1,8,dnc,16,135.3847
medium,10000,8,200000,20000,1,nelson_seq,2,8,dnc,16,136.7386
medium,10000,8,200000,20000,1,nelson_seq,3,8,dnc,16,136.9076
medium,10000,8,200000,20000,1,nelson_seq,4,8,dnc,16,135.4445
medium,10000,8,200000,20000,1,par_close,0,8,dnc,16,29.6185
medium,10000,8,200000,20000,1,par_close,1,8,dnc,16,30.7328
medium,10000,8,200000,20000,1,par_close,2,8,dnc,16,31.6985
medium,10000,8,200000,20000,1,par_close,3,8,dnc,16,32.5616
medium,10000,8,200000,20000,1,par_close,4,8,dnc,16,31.5734
large,50000,16,1000000,100000,1,nelson_seq,0,8,dnc,16,961.1550
large,50000,16,1000000,100000,1,nelson_seq,1,8,dnc,16,968.0137
large,50000,16,1000000,100000,1,nelson_seq,2,8,dnc,16,961.1219
large,50000,16,1000000,100000,1,nelson_seq,3,8,dnc,16,965.2259
large,50000,16,1000000,100000,1,nelson_seq,4,8,dnc,16,968.4721
large,50000,16,1000000,100000,1,par_close,0,8,dnc,16,141.9493
large,50000,16,1000000,100000,1,par_close,1,8,dnc,16,141.4141
large,50000,16,1000000,100000,1,par_close,2,8,dnc,16,142.8507
large,50000,16,1000000,100000,1,par_close,3,8,dnc,16,143.9696
large,50000,16,1000000,100000,1,par_close,4,8,dnc,16,143.5442
deep-s,1000,4,10000,2000,3,nelson_seq,0,8,dnc,16,3.6200
deep-s,1000,4,10000,2000,3,nelson_seq,1,8,dnc,16,3.6442
deep-s,1000,4,10000,2000,3,nelson_seq,2,8,dnc,16,3.6781
deep-s,1000,4,10000,2000,3,nelson_seq,3,8,dnc,16,3.6215
deep-s,1000,4,10000,2000,3,nelson_seq,4,8,dnc,16,3.5492
deep-s,1000,4,10000,2000,3,par_close,0,8,dnc,16,2.9921
deep-s,1000,4,10000,2000,3,par_close,1,8,dnc,16,3.0325
deep-s,1000,4,10000,2000,3,par_close,2,8,dnc,16,2.9294
deep-s,1000,4,10000,2000,3,par_close,3,8,dnc,16,2.9826
deep-s,1000,4,10000,2000,3,par_close,4,8,dnc,16,3.0310
deep-m,10000,8,200000,20000,3,nelson_seq,0,8,dnc,16,135.1143
deep-m,10000,8,200000,20000,3,nelson_seq,1,8,dnc,16,136.0842
deep-m,10000,8,200000,20000,3,nelson_seq,2,8,dnc,16,135.8721
deep-m,10000,8,200000,20000,3,nelson_seq,3,8,dnc,16,136.9174
deep-m,10000,8,200000,20000,3,nelson_seq,4,8,dnc,16,137.0675
deep-m,10000,8,200000,20000,3,par_close,0,8,dnc,16,37.8304
deep-m,10000,8,200000,20000,3,par_close,1,8,dnc,16,37.5973
deep-m,10000,8,200000,20000,3,par_close,2,8,dnc,16,37.7673
deep-m,10000,8,200000,20000,3,par_close,3,8,dnc,16,37.4811
deep-m,10000,8,200000,20000,3,par_close,4,8,dnc,16,37.3348
deep-l,50000,16,1000000,100000,3,nelson_seq,0,8,dnc,16,906.1330
deep-l,50000,16,1000000,100000,3,nelson_seq,1,8,dnc,16,908.2975
deep-l,50000,16,1000000,100000,3,nelson_seq,2,8,dnc,16,907.4707
deep-l,50000,16,1000000,100000,3,nelson_seq,3,8,dnc,16,907.3120
deep-l,50000,16,1000000,100000,3,nelson_seq,4,8,dnc,16,898.3373
deep-l,50000,16,1000000,100000,3,par_close,0,8,dnc,16,124.7362
deep-l,50000,16,1000000,100000,3,par_close,1,8,dnc,16,124.6183
deep-l,50000,16,1000000,100000,3,par_close,2,8,dnc,16,124.4562
deep-l,50000,16,1000000,100000,3,par_close,3,8,dnc,16,125.4735
deep-l,50000,16,1000000,100000,3,par_close,4,8,dnc,16,127.7960
small,1000,4,10000,2000,1,nelson_seq,0,16,dnc,16,3.5113
small,1000,4,10000,2000,1,nelson_seq,1,16,dnc,16,3.4540
small,1000,4,10000,2000,1,nelson_seq,2,16,dnc,16,3.5247
small,1000,4,10000,2000,1,nelson_seq,3,16,dnc,16,3.4562
small,1000,4,10000,2000,1,nelson_seq,4,16,dnc,16,3.5382
small,1000,4,10000,2000,1,par_close,0,16,dnc,16,3.1270
small,1000,4,10000,2000,1,par_close,1,16,dnc,16,3.1684
small,1000,4,10000,2000,1,par_close,2,16,dnc,16,3.2424
small,1000,4,10000,2000,1,par_close,3,16,dnc,16,3.2181
small,1000,4,10000,2000,1,par_close,4,16,dnc,16,3.0092
medium,10000,8,200000,20000,1,nelson_seq,0,16,dnc,16,139.2127
medium,10000,8,200000,20000,1,nelson_seq,1,16,dnc,16,141.9417
medium,10000,8,200000,20000,1,nelson_seq,2,16,dnc,16,141.6773
medium,10000,8,200000,20000,1,nelson_seq,3,16,dnc,16,142.4808
medium,10000,8,200000,20000,1,nelson_seq,4,16,dnc,16,139.5930
medium,10000,8,200000,20000,1,par_close,0,16,dnc,16,19.7877
medium,10000,8,200000,20000,1,par_close,1,16,dnc,16,19.1324
medium,10000,8,200000,20000,1,par_close,2,16,dnc,16,19.6967
medium,10000,8,200000,20000,1,par_close,3,16,dnc,16,20.9210
medium,10000,8,200000,20000,1,par_close,4,16,dnc,16,19.6092
large,50000,16,1000000,100000,1,nelson_seq,0,16,dnc,16,1088.7802
large,50000,16,1000000,100000,1,nelson_seq,1,16,dnc,16,1091.9762
large,50000,16,1000000,100000,1,nelson_seq,2,16,dnc,16,1097.6978
large,50000,16,1000000,100000,1,nelson_seq,3,16,dnc,16,1092.8529
large,50000,16,1000000,100000,1,nelson_seq,4,16,dnc,16,1092.3301
large,50000,16,1000000,100000,1,par_close,0,16,dnc,16,83.6615
large,50000,16,1000000,100000,1,par_close,1,16,dnc,16,79.8890
large,50000,16,1000000,100000,1,par_close,2,16,dnc,16,84.3278
large,50000,16,1000000,100000,1,par_close,3,16,dnc,16,87.0708
large,50000,16,1000000,100000,1,par_close,4,16,dnc,16,81.5689
deep-s,1000,4,10000,2000,3,nelson_seq,0,16,dnc,16,4.0420
deep-s,1000,4,10000,2000,3,nelson_seq,1,16,dnc,16,4.0365
deep-s,1000,4,10000,2000,3,nelson_seq,2,16,dnc,16,4.0488
deep-s,1000,4,10000,2000,3,nelson_seq,3,16,dnc,16,3.9731
deep-s,1000,4,10000,2000,3,nelson_seq,4,16,dnc,16,4.0422
deep-s,1000,4,10000,2000,3,par_close,0,16,dnc,16,2.6737
deep-s,1000,4,10000,2000,3,par_close,1,16,dnc,16,2.6401
deep-s,1000,4,10000,2000,3,par_close,2,16,dnc,16,3.0087
deep-s,1000,4,10000,2000,3,par_close,3,16,dnc,16,2.8893
deep-s,1000,4,10000,2000,3,par_close,4,16,dnc,16,2.8012
deep-m,10000,8,200000,20000,3,nelson_seq,0,16,dnc,16,144.3497
deep-m,10000,8,200000,20000,3,nelson_seq,1,16,dnc,16,144.2915
deep-m,10000,8,200000,20000,3,nelson_seq,2,16,dnc,16,141.3091
deep-m,10000,8,200000,20000,3,nelson_seq,3,16,dnc,16,144.3942
deep-m,10000,8,200000,20000,3,nelson_seq,4,16,dnc,16,143.0860
deep-m,10000,8,200000,20000,3,par_close,0,16,dnc,16,27.7799
deep-m,10000,8,200000,20000,3,par_close,1,16,dnc,16,28.6640
deep-m,10000,8,200000,20000,3,par_close,2,16,dnc,16,27.9330
deep-m,10000,8,200000,20000,3,par_close,3,16,dnc,16,28.4805
deep-m,10000,8,200000,20000,3,par_close,4,16,dnc,16,28.7240
deep-l,50000,16,1000000,100000,3,nelson_seq,0,16,dnc,16,970.0577
deep-l,50000,16,1000000,100000,3,nelson_seq,1,16,dnc,16,971.7838
deep-l,50000,16,1000000,100000,3,nelson_seq,2,16,dnc,16,983.5593
deep-l,50000,16,1000000,100000,3,nelson_seq,3,16,dnc,16,978.5093
deep-l,50000,16,1000000,100000,3,nelson_seq,4,16,dnc,16,971.9313
