workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
deep-m,2,1,47572,95336,26271,7.496,0.985,22.101,0.000,8.022,3.415
deep-m,2,2,26271,52514,0,7.674,1.267,12.715,0.000,5.131,1.050
deep-m,2,0,17367,115794,47572,2.571,0.473,19.613,0.000,6.544,3.332
deep-m,2,1,47572,95336,26271,7.662,1.170,22.120,0.000,8.098,3.428
deep-m,2,2,26271,52514,0,7.781,1.150,12.544,0.000,4.966,1.020
deep-l,2,0,86518,576676,225233,16.244,1.181,102.307,0.000,19.235,16.416
deep-l,2,1,225233,450223,116944,34.524,3.211,110.583,0.000,31.784,18.277
deep-l,2,2,116944,233969,0,37.835,7.292,56.499,0.000,20.733,3.116
deep-l,2,0,86518,576676,225233,15.693,1.217,103.013,0.000,20.013,16.570
deep-l,2,1,225233,450223,116944,35.468,3.061,110.761,0.000,32.000,18.212
deep-l,2,2,116944,233969,0,38.675,7.316,56.509,0.000,20.871,2.953
deep-l,2,0,86518,576676,225233,15.282,1.175,104.287,0.000,21.108,16.403
deep-l,2,1,225233,450223,116944,35.690,3.203,110.699,0.000,32.208,18.312
deep-l,2,2,116944,233969,0,38.511,7.343,57.244,0.000,21.265,3.079
deep-l,2,0,86518,576676,225233,15.940,1.240,105.197,0.000,21.663,16.478
deep-l,2,1,225233,450223,116944,35.357,3.237,111.024,0.000,32.462,18.361
deep-l,2,2,116944,233969,0,38.630,7.269,57.571,0.000,21.506,3.010
deep-l,2,0,86518,576676,225233,16.305,1.248,105.004,0.000,21.747,16.164
deep-l,2,1,225233,450223,116944,35.796,3.294,111.535,0.000,32.695,18.487
deep-l,2,2,116944,233969,0,38.899,7.110,57.338,0.000,21.326,3.001
deep-l,2,0,86518,576676,225233,15.881,1.199,105.808,0.000,22.080,16.617
deep-l,2,1,225233,450223,116944,35.651,3.255,111.285,0.000,32.583,18.318
deep-l,2,2,116944,233969,0,38.945,7.283,57.283,0.000,21.314,3.045
small,4,0,1720,17118,7959,0.503,0.081,2.982,0.000,1.245,0.520
small,4,1,7959,0,0,0.895,0.211,0.000,,,
small,4,0,1720,17118,7959,0.302,0.054,2.533,0.000,0.917,0.475
small,4,1,7959,0,0,0.853,0.207,0.000,,,
small,4,0,1720,17118,7959,0.294,0.058,2.594,0.000,0.923,0.510
small,4,1,7959,0,0,0.994,0.209,0.000,,,
small,4,0,1720,17118,7959,0.256,0.063,2.749,0.000,1.053,0.513
small,4,1,7959,0,0,0.900,0.214,0.000,,,
small,4,0,1720,17118,7959,0.281,0.062,2.543,0.000,0.950,0.511
small,4,1,7959,0,0,1.010,0.210,0.000,,,
small,4,0,1720,17118,7959,0.293,0.061,2.594,0.000,1.010,0.513
small,4,1,7959,0,0,0.909,0.213,0.000,,,
medium,4,0,17367,347448,160295,2.450,0.785,38.039,0.000,7.663,7.943
medium,4,1,160295,0,0,11.782,2.128,0.000,,,
medium,4,0,17367,347448,160295,2.597,0.568,36.879,0.000,7.038,7.595
medium,4,1,160295,0,0,12.331,2.273,0.000,,,
medium,4,0,17367,347448,160295,2.193,0.544,37.635,0.000,7.155,7.132
medium,4,1,160295,0,0,12.221,2.194,0.000,,,
medium,4,0,17367,347448,160295,2.205,0.556,37.553,0.000,7.853,7.023
medium,4,1,160295,0,0,11.802,2.226,0.000,,,
medium,4,0,17367,347448,160295,2.225,0.684,38.381,0.000,7.131,8.026
medium,4,1,160295,0,0,12.410,2.376,0.000,,,
medium,4,0,17367,347448,160295,2.457,0.634,38.263,0.000,7.535,7.911
medium,4,1,160295,0,0,12.322,2.167,0.000,,,
large,4,0,86518,1730227,737662,10.025,2.277,197.761,0.000,30.544,28.589
large,4,1,737662,0,0,42.957,7.497,0.000,,,
large,4,0,86518,1730227,737662,11.235,1.307,204.879,0.000,29.621,29.475
large,4,1,737662,0,0,44.906,8.105,0.000,,,
large,4,0,86518,1730227,737662,11.018,1.336,204.013,0.000,30.614,28.966
large,4,1,737662,0,0,45.913,7.944,0.000,,,
large,4,0,86518,1730227,737662,11.117,1.474,206.852,0.000,32.123,30.394
large,4,1,737662,0,0,45.349,7.250,0.000,,,
large,4,0,86518,1730227,737662,11.573,1.457,207.203,0.000,33.013,29.286
large,4,1,737662,0,0,47.290,7.910,0.000,,,
large,4,0,86518,1730227,737662,11.193,1.469,206.837,0.000,32.809,29.203
large,4,1,737662,0,0,47.547,8.113,0.000,,,
deep-s,4,0,1720,5755,2393,0.257,0.045,0.928,0.000,0.298,0.204
deep-s,4,1,2393,4828,1048,0.392,0.081,0.897,0.000,0.310,0.169
deep-s,4,2,1048,2096,0,0.343,0.099,0.429,0.000,0.170,0.039
deep-s,4,0,1720,5755,2393,0.293,0.042,0.937,0.000,0.318,0.188
deep-s,4,1,2393,4828,1048,0.345,0.075,1.086,0.000,0.521,0.173
deep-s,4,2,1048,2096,0,0.328,0.113,0.441,0.000,0.163,0.048
deep-s,4,0,1720,5755,2393,0.257,0.043,0.984,0.000,0.320,0.215
deep-s,4,1,2393,4828,1048,0.377,0.089,0.926,0.000,0.327,0.174
deep-s,4,2,1048,2096,0,0.339,0.105,0.426,0.000,0.157,0.046
deep-s,4,0,1720,5755,2393,0.281,0.043,0.972,0.000,0.323,0.218
deep-s,4,1,2393,4828,1048,0.390,0.080,1.006,0.000,0.397,0.177
deep-s,4,2,1048,2096,0,0.341,0.105,0.430,0.000,0.163,0.047
deep-s,4,0,1720,5755,2393,0.220,0.044,1.076,0.000,0.339,0.222
deep-s,4,1,2393,4828,1048,0.338,0.084,0.942,0.000,0.331,0.169
deep-s,4,2,1048,2096,0,0.386,0.125,0.451,0.000,0.167,0.042
deep-s,4,0,1720,5755,2393,0.298,0.042,0.990,0.000,0.340,0.220
deep-s,4,1,2393,4828,1048,0.381,0.081,0.968,0.000,0.350,0.178
deep-s,4,2,1048,2096,0,0.341,0.109,0.432,0.000,0.160,0.047
deep-m,4,0,17367,115794,47572,1.921,0.486,15.645,0.000,5.745,2.596
deep-m,4,1,47572,95336,26271,5.178,0.739,15.522,0.000,6.312,2.121
deep-m,4,2,26271,52514,0,5.384,1.183,8.821,0.000,3.649,0.751
deep-m,4,0,17367,115794,47572,1.852,0.505,16.125,0.000,6.156,2.381
deep-m,4,1,47572,95336,26271,4.758,0.738,15.098,0.000,5.829,2.037
deep-m,4,2,26271,52514,0,5.267,1.045,9.338,0.000,3.493,0.912
deep-m,4,0,17367,115794,47572,2.177,0.493,15.705,0.000,6.185,2.274
deep-m,4,1,47572,95336,26271,4.810,0.792,15.443,0.000,5.825,2.166
deep-m,4,2,26271,52514,0,5.280,0.997,9.384,0.000,3.623,0.838
deep-m,4,0,17367,115794,47572,2.087,0.494,15.665,0.000,6.060,2.417
deep-m,4,1,47572,95336,26271,4.683,0.732,15.514,0.000,6.001,2.127
deep-m,4,2,26271,52514,0,5.177,0.980,9.611,0.000,3.729,0.847
deep-m,4,0,17367,115794,47572,1.984,0.611,15.366,0.000,6.015,2.378
deep-m,4,1,47572,95336,26271,4.840,0.810,15.074,0.000,5.683,2.039
deep-m,4,2,26271,52514,0,5.197,1.328,9.124,0.000,3.504,0.732
deep-m,4,0,17367,115794,47572,1.858,0.474,15.246,0.000,5.973,2.240
deep-m,4,1,47572,95336,26271,4.647,0.776,15.585,0.000,5.960,2.064
deep-m,4,2,26271,52514,0,5.074,1.124,9.422,0.000,3.559,0.775
deep-l,4,0,86518,576676,225233,9.976,0.906,63.453,0.000,12.310,11.546
deep-l,4,1,225233,450223,116944,22.767,2.177,75.055,0.000,20.011,12.758
deep-l,4,2,116944,233969,0,24.856,4.701,39.100,0.000,13.776,3.632
deep-l,4,0,86518,576676,225233,10.003,0.885,60.990,0.000,11.631,9.905
deep-l,4,1,225233,450223,116944,22.911,2.289,71.333,0.000,20.044,12.339
deep-l,4,2,116944,233969,0,24.922,5.227,39.018,0.000,13.605,3.794
deep-l,4,0,86518,576676,225233,10.180,0.813,61.824,0.000,11.874,9.949
deep-l,4,1,225233,450223,116944,22.551,2.267,70.525,0.000,19.997,12.196
deep-l,4,2,116944,233969,0,25.022,4.960,38.542,0.000,13.615,3.528
deep-l,4,0,86518,576676,225233,9.997,0.854,60.841,0.000,12.998,8.738
deep-l,4,1,225233,450223,116944,22.369,2.261,70.408,0.000,20.026,12.277
deep-l,4,2,116944,233969,0,24.576,5.319,38.968,0.000,13.703,3.649
deep-l,4,0,86518,576676,225233,10.204,0.852,60.799,0.000,12.676,8.924
deep-l,4,1,225233,450223,116944,22.618,2.377,71.978,0.000,20.119,12.860
deep-l,4,2,116944,233969,0,24.805,4.794,39.675,0.000,14.001,3.553
deep-l,4,0,86518,576676,225233,9.814,0.910,63.251,0.000,13.586,9.397
deep-l,4,1,225233,450223,116944,23.001,2.215,72.173,0.000,20.719,12.521
deep-l,4,2,116944,233969,0,24.918,5.382,39.205,0.000,14.202,3.236
small,8,0,1720,17118,7959,0.713,0.134,2.766,0.000,1.407,0.429
small,8,1,7959,0,0,0.736,0.216,0.000,,,
small,8,0,1720,17118,7959,0.307,0.071,2.000,0.000,0.982,0.316
small,8,1,7959,0,0,0.650,0.214,0.000,,,
small,8,0,1720,17118,7959,0.247,0.072,1.978,0.000,0.979,0.308
small,8,1,7959,0,0,0.667,0.220,0.000,,,
small,8,0,1720,17118,7959,0.260,0.069,1.963,0.000,0.936,0.316
small,8,1,7959,0,0,0.679,0.205,0.000,,,
small,8,0,1720,17118,7959,0.241,0.070,1.877,0.000,0.883,0.304
small,8,1,7959,0,0,0.635,0.215,0.000,,,
small,8,0,1720,17118,7959,0.240,0.071,1.911,0.000,0.906,0.310
small,8,1,7959,0,0,0.632,0.208,0.000,,,
medium,8,0,17367,347448,160295,1.423,0.811,20.111,0.000,5.042,3.950
medium,8,1,160295,0,0,6.009,1.204,0.000,,,
medium,8,0,17367,347448,160295,1.235,0.456,17.968,0.000,3.780,4.025
medium,8,1,160295,0,0,6.357,1.236,0.000,,,
medium,8,0,17367,347448,160295,1.220,0.443,18.611,0.000,4.056,4.038
medium,8,1,160295,0,0,6.618,1.330,0.000,,,
medium,8,0,17367,347448,160295,1.304,0.476,19.580,0.000,4.152,3.868
medium,8,1,160295,0,0,6.455,1.310,0.000,,,
medium,8,0,17367,347448,160295,1.304,0.471,19.864,0.000,4.237,4.002
medium,8,1,160295,0,0,7.089,1.286,0.000,,,
medium,8,0,17367,347448,160295,1.324,0.487,19.740,0.000,4.079,3.983
medium,8,1,160295,0,0,6.310,1.213,0.000,,,
large,8,0,86518,1730227,737662,4.798,0.924,100.295,0.000,17.893,19.568
large,8,1,737662,0,0,24.313,4.134,0.000,,,
large,8,0,86518,1730227,737662,5.614,0.849,97.121,0.000,17.028,20.823
large,8,1,737662,0,0,23.904,4.360,0.000,,,
