workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
2XL,4,2,1331386,2662670,18,161.152,13.678,406.879,0.000,129.656,38.625
2XL,4,3,18,0,0,0.020,0.003,0.000,,,
2XL,4,0,99964,2665698,1332660,8.453,1.205,256.216,0.000,29.812,47.897
2XL,4,1,1332660,2665302,1331386,110.189,7.714,323.841,0.000,36.334,41.879
2XL,4,2,1331386,2662670,18,161.425,13.356,413.049,0.000,133.921,40.096
2XL,4,3,18,0,0,0.020,0.004,0.000,,,
2XL,4,0,99964,2665698,1332660,8.636,1.083,254.722,0.000,29.362,48.299
2XL,4,1,1332660,2665302,1331386,110.747,7.360,325.874,0.000,34.792,41.022
2XL,4,2,1331386,2662670,18,164.370,14.278,401.117,0.000,128.156,37.328
2XL,4,3,18,0,0,0.023,0.005,0.000,,,
2XL,4,0,99964,2665698,1332660,9.206,1.045,255.608,0.000,29.432,48.652
2XL,4,1,1332660,2665302,1331386,109.763,7.519,329.427,0.000,35.951,42.018
2XL,4,2,1331386,2662670,18,162.956,14.259,408.772,0.000,131.205,39.688
2XL,4,3,18,0,0,0.022,0.005,0.000,,,
2XL,4,0,99964,2665698,1332660,8.811,1.090,256.023,0.000,29.998,47.767
2XL,4,1,1332660,2665302,1331386,104.650,7.174,326.910,0.000,35.053,40.807
2XL,4,2,1331386,2662670,18,163.245,15.013,409.687,0.000,132.536,39.763
2XL,4,3,18,0,0,0.020,0.004,0.000,,,
2XL,4,0,99964,2665698,1332660,10.298,1.234,286.614,0.000,30.218,48.558
2XL,4,1,1332660,2665302,1331386,110.240,8.201,368.484,0.000,37.124,38.666
2XL,4,2,1331386,2662670,18,173.180,14.819,465.083,0.000,143.015,47.331
2XL,4,3,18,0,0,0.024,0.005,0.000,,,
2XL,64,0,99964,2665698,1332660,2.905,2.165,38.758,0.000,12.985,7.702
2XL,64,1,1332660,2665302,1331386,16.693,3.162,84.982,0.000,17.762,3.885
2XL,64,2,1331386,2662670,18,19.332,6.720,35.435,0.000,13.042,5.315
2XL,64,3,18,0,0,0.022,0.005,0.000,,,
2XL,64,0,99964,2665698,1332660,2.622,0.869,30.254,0.000,7.901,6.894
2XL,64,1,1332660,2665302,1331386,12.979,3.486,79.639,0.000,13.927,3.160
2XL,64,2,1331386,2662670,18,15.355,3.540,34.125,0.000,13.089,4.015
2XL,64,3,18,0,0,0.022,0.005,0.000,,,
2XL,64,0,99964,2665698,1332660,1.671,0.911,32.222,0.000,8.425,8.127
2XL,64,1,1332660,2665302,1331386,12.956,3.253,79.938,0.000,14.133,3.129
2XL,64,2,1331386,2662670,18,15.661,3.559,34.077,0.000,12.860,4.102
2XL,64,3,18,0,0,0.026,0.005,0.000,,,
2XL,64,0,99964,2665698,1332660,2.644,0.869,33.727,0.000,9.795,7.865
2XL,64,1,1332660,2665302,1331386,13.857,3.638,78.620,0.000,12.343,3.111
2XL,64,2,1331386,2662670,18,15.582,4.807,34.914,0.000,13.777,4.014
2XL,64,3,18,0,0,0.022,0.006,0.000,,,
2XL,64,0,99964,2665698,1332660,1.875,0.901,30.828,0.000,8.336,7.446
2XL,64,1,1332660,2665302,1331386,12.612,3.491,72.825,0.000,6.470,3.206
2XL,64,2,1331386,2662670,18,16.443,3.596,34.848,0.000,13.351,4.098
2XL,64,3,18,0,0,0.022,0.005,0.000,,,
2XL,64,0,99964,2665698,1332660,2.445,0.895,30.621,0.000,9.921,5.767
2XL,64,1,1332660,2665302,1331386,12.670,3.298,72.904,0.000,6.664,3.232
2XL,64,2,1331386,2662670,18,15.433,3.635,35.195,0.000,13.801,4.102
2XL,64,3,18,0,0,0.024,0.005,0.000,,,
2XL,8,0,99964,2665698,1332660,5.934,0.826,144.401,0.000,19.878,29.873
2XL,8,1,1332660,2665302,1331386,60.588,4.579,201.777,0.000,22.205,22.055
2XL,8,2,1331386,2662670,18,88.329,8.543,218.845,0.000,72.409,20.966
2XL,8,3,18,0,0,0.024,0.004,0.000,,,
2XL,8,0,99964,2665698,1332660,5.797,0.909,140.089,0.000,18.015,27.895
2XL,8,1,1332660,2665302,1331386,60.576,4.766,199.491,0.000,18.856,23.248
2XL,8,2,1331386,2662670,18,89.062,8.513,217.166,0.000,71.964,20.536
2XL,8,3,18,0,0,0.023,0.005,0.000,,,
2XL,8,0,99964,2665698,1332660,5.909,0.823,139.304,0.000,18.129,27.916
2XL,8,1,1332660,2665302,1331386,59.312,5.025,197.257,0.000,18.511,21.120
2XL,8,2,1331386,2662670,18,88.471,8.037,220.135,0.000,73.653,21.213
2XL,8,3,18,0,0,0.023,0.005,0.000,,,
2XL,8,0,99964,2665698,1332660,5.373,0.822,139.203,0.000,16.737,28.902
2XL,8,1,1332660,2665302,1331386,60.135,5.096,196.585,0.000,19.487,20.547
2XL,8,2,1331386,2662670,18,88.642,8.431,218.365,0.000,73.126,20.463
2XL,8,3,18,0,0,0.024,0.005,0.000,,,
2XL,8,0,99964,2665698,1332660,5.914,0.872,140.467,0.000,18.301,27.700
2XL,8,1,1332660,2665302,1331386,58.305,4.432,197.443,0.000,20.593,18.977
2XL,8,2,1331386,2662670,18,90.445,8.404,222.872,0.000,75.391,21.939
2XL,8,3,18,0,0,0.029,0.005,0.000,,,
2XL,8,0,99964,2665698,1332660,5.861,0.882,137.589,0.000,17.169,26.441
2XL,8,1,1332660,2665302,1331386,58.776,5.181,197.135,0.000,19.267,20.343
2XL,8,2,1331386,2662670,18,88.031,9.601,218.217,0.000,71.392,20.207
2XL,8,3,18,0,0,0.023,0.004,0.000,,,
4XL,1,0,100000,5333332,2666666,20.432,7.279,1733.188,0.000,252.907,125.699
4XL,1,1,2666666,5333332,2666666,701.562,55.026,2190.230,0.000,275.569,163.261
4XL,1,2,2666666,5333336,112,950.028,75.578,2865.604,0.000,817.175,196.345
4XL,1,3,112,0,0,0.129,0.008,0.000,,,
4XL,1,0,100000,5333332,2666666,21.213,6.936,1728.462,0.000,252.063,125.723
4XL,1,1,2666666,5333332,2666666,707.154,52.268,2202.065,0.000,271.999,164.710
4XL,1,2,2666666,5333336,112,957.598,78.417,2858.317,0.000,810.233,190.441
4XL,1,3,112,0,0,0.128,0.008,0.000,,,
4XL,1,0,100000,5333332,2666666,21.085,7.161,1719.819,0.000,251.990,125.175
4XL,1,1,2666666,5333332,2666666,695.386,52.096,2179.808,0.000,260.683,162.327
4XL,1,2,2666666,5333336,112,960.332,78.960,3115.522,0.000,930.527,259.853
4XL,1,3,112,0,0,0.129,0.008,0.000,,,
4XL,1,0,100000,5333332,2666666,21.177,7.014,1700.257,0.000,250.907,125.697
4XL,1,1,2666666,5333332,2666666,696.702,52.269,2198.228,0.000,271.634,165.574
4XL,1,2,2666666,5333336,112,959.570,78.920,3123.175,0.000,939.119,257.483
4XL,1,3,112,0,0,0.128,0.008,0.000,,,
4XL,1,0,100000,5333332,2666666,21.050,7.083,1709.995,0.000,251.566,125.699
4XL,1,1,2666666,5333332,2666666,705.503,51.536,2186.014,0.000,260.293,162.971
4XL,1,2,2666666,5333336,112,960.121,79.453,3153.530,0.000,944.402,265.091
4XL,1,3,112,0,0,0.140,0.010,0.000,,,
4XL,1,0,100000,5333332,2666666,21.351,7.097,1727.282,0.000,252.994,125.324
4XL,1,1,2666666,5333332,2666666,701.510,51.544,2192.395,0.000,271.636,166.009
4XL,1,2,2666666,5333336,112,957.397,80.028,3133.145,0.000,943.302,262.417
4XL,1,3,112,0,0,0.133,0.008,0.000,,,
4XL,128,0,100000,5333332,2666666,8.405,20.720,80.231,0.000,24.684,17.969
4XL,128,1,2666666,5333332,2666666,33.303,9.442,107.305,0.000,68.159,10.523
4XL,128,2,2666666,5333336,112,26.800,6.917,63.277,0.000,21.227,11.068
4XL,128,3,112,0,0,0.090,0.033,0.000,,,
4XL,128,0,100000,5333332,2666666,2.337,1.517,53.658,0.000,18.147,8.928
4XL,128,1,2666666,5333332,2666666,29.276,6.293,47.196,0.000,13.652,4.863
4XL,128,2,2666666,5333336,112,19.245,5.868,59.365,0.000,19.357,8.008
4XL,128,3,112,0,0,0.084,0.028,0.000,,,
4XL,128,0,100000,5333332,2666666,2.436,1.698,49.051,0.000,16.372,8.930
4XL,128,1,2666666,5333332,2666666,22.809,5.349,46.251,0.000,12.909,4.861
4XL,128,2,2666666,5333336,112,17.469,6.536,58.262,0.000,19.213,7.503
4XL,128,3,112,0,0,0.084,0.027,0.000,,,
4XL,128,0,100000,5333332,2666666,2.325,1.377,48.184,0.000,14.966,8.809
4XL,128,1,2666666,5333332,2666666,25.137,5.625,44.386,0.000,12.250,4.701
4XL,128,2,2666666,5333336,112,18.952,6.724,59.027,0.000,20.121,7.385
4XL,128,3,112,0,0,0.088,0.040,0.000,,,
4XL,128,0,100000,5333332,2666666,2.444,1.770,52.556,0.000,19.575,8.826
4XL,128,1,2666666,5333332,2666666,23.186,6.356,45.031,0.000,12.787,4.688
4XL,128,2,2666666,5333336,112,19.139,5.709,58.786,0.000,19.942,7.530
4XL,128,3,112,0,0,0.091,0.026,0.000,,,
4XL,128,0,100000,5333332,2666666,2.360,1.555,50.344,0.000,17.388,9.103
4XL,128,1,2666666,5333332,2666666,22.833,5.901,45.926,0.000,12.385,4.735
4XL,128,2,2666666,5333336,112,17.533,5.947,58.311,0.000,19.062,7.667
4XL,128,3,112,0,0,0.079,0.033,0.000,,,
4XL,16,0,100000,5333332,2666666,3.897,3.484,152.971,0.000,26.534,33.638
4XL,16,1,2666666,5333332,2666666,65.470,9.714,164.969,0.000,32.387,20.103
4XL,16,2,2666666,5333336,112,82.127,6.817,218.490,0.000,74.150,19.925
4XL,16,3,112,0,0,0.082,0.025,0.000,,,
4XL,16,0,100000,5333332,2666666,3.302,1.254,137.871,0.000,19.836,30.185
4XL,16,1,2666666,5333332,2666666,61.013,5.860,153.657,0.000,20.121,20.700
4XL,16,2,2666666,5333336,112,78.285,7.118,219.451,0.000,73.777,19.810
4XL,16,3,112,0,0,0.088,0.024,0.000,,,
4XL,16,0,100000,5333332,2666666,3.258,1.260,136.934,0.000,20.057,29.758
4XL,16,1,2666666,5333332,2666666,62.986,7.447,152.942,0.000,19.664,20.614
4XL,16,2,2666666,5333336,112,81.273,6.708,222.036,0.000,74.916,20.922
4XL,16,3,112,0,0,0.079,0.025,0.000,,,
4XL,16,0,100000,5333332,2666666,4.277,1.313,135.762,0.000,20.114,28.003
4XL,16,1,2666666,5333332,2666666,64.000,6.453,155.473,0.000,19.929,20.933
4XL,16,2,2666666,5333336,112,79.307,6.325,221.748,0.000,75.243,20.403
4XL,16,3,112,0,0,0.085,0.026,0.000,,,
4XL,16,0,100000,5333332,2666666,3.278,1.255,135.334,0.000,19.777,27.841
4XL,16,1,2666666,5333332,2666666,64.029,6.873,153.540,0.000,19.641,20.186
4XL,16,2,2666666,5333336,112,78.848,6.388,224.500,0.000,76.178,20.997
4XL,16,3,112,0,0,0.085,0.026,0.000,,,
4XL,16,0,100000,5333332,2666666,3.288,1.292,136.887,0.000,19.660,30.106
4XL,16,1,2666666,5333332,2666666,62.006,5.317,153.555,0.000,20.185,20.792
4XL,16,2,2666666,5333336,112,82.212,6.989,223.770,0.000,75.895,20.887
4XL,16,3,112,0,0,0.081,0.024,0.000,,,
4XL,2,0,100000,5333332,2666666,15.648,5.346,1006.474,0.000,120.740,177.334
4XL,2,1,2666666,5333332,2666666,391.640,26.766,1172.066,0.000,129.151,129.425
4XL,2,2,2666666,5333336,112,523.245,39.185,1504.081,0.000,432.873,106.948
4XL,2,3,112,0,0,0.099,0.011,0.000,,,
4XL,2,0,100000,5333332,2666666,14.154,4.284,1008.812,0.000,119.129,176.668
4XL,2,1,2666666,5333332,2666666,388.361,26.220,1176.134,0.000,130.658,134.893
4XL,2,2,2666666,5333336,112,526.923,40.965,1497.644,0.000,429.979,104.949
4XL,2,3,112,0,0,0.109,0.012,0.000,,,
4XL,2,0,100000,5333332,2666666,15.506,4.380,1004.945,0.000,119.672,175.653
4XL,2,1,2666666,5333332,2666666,389.075,26.230,1171.458,0.000,126.007,132.627
4XL,2,2,2666666,5333336,112,527.455,40.672,1660.897,0.000,511.042,143.375
4XL,2,3,112,0,0,0.092,0.012,0.000,,,
4XL,2,0,100000,5333332,2666666,14.605,4.333,1005.418,0.000,120.436,176.714
4XL,2,1,2666666,5333332,2666666,389.692,25.935,1173.443,0.000,130.813,133.886
4XL,2,2,2666666,5333336,112,528.359,41.528,1661.065,0.000,515.118,144.870
4XL,2,3,112,0,0,0.118,0.010,0.000,,,
4XL,2,0,100000,5333332,2666666,16.031,4.236,997.272,0.000,119.492,175.601
4XL,2,1,2666666,5333332,2666666,393.261,25.601,1169.350,0.000,125.524,132.290
4XL,2,2,2666666,5333336,112,528.949,41.616,1675.370,0.000,518.181,147.213
4XL,2,3,112,0,0,0.111,0.012,0.000,,,
4XL,2,0,100000,5333332,2666666,14.658,4.321,995.469,0.000,119.718,176.614
4XL,2,1,2666666,5333332,2666666,390.019,26.208,1180.912,0.000,131.156,134.327
4XL,2,2,2666666,5333336,112,530.463,41.268,1672.600,0.000,517.066,146.598
4XL,2,3,112,0,0,0.102,0.011,0.000,,,
4XL,32,0,100000,5333332,2666666,4.467,5.959,98.547,0.000,19.321,24.611
4XL,32,1,2666666,5333332,2666666,40.531,8.007,103.608,0.000,33.495,11.519
4XL,32,2,2666666,5333336,112,45.333,6.087,124.054,0.000,41.654,12.561
4XL,32,3,112,0,0,0.082,0.027,0.000,,,
4XL,32,0,100000,5333332,2666666,2.234,1.157,81.748,0.000,14.840,16.427
4XL,32,1,2666666,5333332,2666666,38.086,5.971,90.298,0.000,14.349,9.674
4XL,32,2,2666666,5333336,112,41.543,6.042,124.516,0.000,40.692,11.950
4XL,32,3,112,0,0,0.090,0.026,0.000,,,
4XL,32,0,100000,5333332,2666666,2.250,1.228,84.596,0.000,15.554,16.678
4XL,32,1,2666666,5333332,2666666,36.186,6.186,90.294,0.000,14.458,9.673
4XL,32,2,2666666,5333336,112,42.168,7.118,126.457,0.000,41.477,12.245
4XL,32,3,112,0,0,0.084,0.025,0.000,,,
4XL,32,0,100000,5333332,2666666,2.316,1.294,84.809,0.000,16.566,16.963
4XL,32,1,2666666,5333332,2666666,39.521,5.277,90.985,0.000,14.500,9.849
4XL,32,2,2666666,5333336,112,44.604,7.427,127.055,0.000,41.587,12.542
4XL,32,3,112,0,0,0.078,0.027,0.000,,,
4XL,32,0,100000,5333332,2666666,2.313,1.312,87.641,0.000,18.671,17.179
4XL,32,1,2666666,5333332,2666666,36.955,6.123,91.278,0.000,14.479,9.646
4XL,32,2,2666666,5333336,112,44.091,6.851,128.020,0.000,42.330,12.505
4XL,32,3,112,0,0,0.086,0.033,0.000,,,
4XL,32,0,100000,5333332,2666666,2.454,1.372,85.645,0.000,15.180,17.615
4XL,32,1,2666666,5333332,2666666,38.858,6.821,91.140,0.000,14.482,9.337
4XL,32,2,2666666,5333336,112,43.589,6.466,128.494,0.000,42.210,12.616
4XL,32,3,112,0,0,0.084,0.027,0.000,,,
4XL,4,0,100000,5333332,2666666,10.934,3.496,606.157,0.000,62.688,115.113
4XL,4,1,2666666,5333332,2666666,234.733,14.703,713.651,0.000,70.072,77.575
4XL,4,2,2666666,5333336,112,298.058,21.713,1015.966,0.000,298.377,95.992
4XL,4,3,112,0,0,0.096,0.014,0.000,,,
4XL,4,0,100000,5333332,2666666,10.317,2.031,602.413,0.000,59.967,119.226
4XL,4,1,2666666,5333332,2666666,234.228,13.184,707.257,0.000,66.318,76.318
4XL,4,2,2666666,5333336,112,305.609,23.337,1003.539,0.000,289.993,92.480
4XL,4,3,112,0,0,0.090,0.013,0.000,,,
4XL,4,0,100000,5333332,2666666,10.778,2.073,603.333,0.000,60.044,121.474
4XL,4,1,2666666,5333332,2666666,232.459,13.094,704.446,0.000,63.572,76.173
4XL,4,2,2666666,5333336,112,305.795,22.886,1025.731,0.000,300.063,97.461
4XL,4,3,112,0,0,0.099,0.019,0.000,,,
4XL,4,0,100000,5333332,2666666,10.355,1.997,606.058,0.000,59.083,123.259
4XL,4,1,2666666,5333332,2666666,233.762,13.702,717.740,0.000,66.092,77.126
4XL,4,2,2666666,5333336,112,305.154,22.918,1023.271,0.000,300.873,97.917
4XL,4,3,112,0,0,0.103,0.013,0.000,,,
4XL,4,0,100000,5333332,2666666,10.658,2.058,602.475,0.000,59.418,121.344
4XL,4,1,2666666,5333332,2666666,232.115,13.642,710.814,0.000,64.359,76.509
4XL,4,2,2666666,5333336,112,304.738,22.925,1024.505,0.000,300.654,95.694
4XL,4,3,112,0,0,0.103,0.011,0.000,,,
4XL,4,0,100000,5333332,2666666,10.526,2.075,600.246,0.000,58.769,118.645
4XL,4,1,2666666,5333332,2666666,232.714,13.499,713.559,0.000,66.496,76.852
4XL,4,2,2666666,5333336,112,306.676,23.574,1022.329,0.000,297.803,98.256
4XL,4,3,112,0,0,0.101,0.013,0.000,,,
4XL,64,0,100000,5333332,2666666,5.767,11.394,70.572,0.000,17.957,16.313
4XL,64,1,2666666,5333332,2666666,28.838,6.245,85.534,0.000,41.626,8.526
4XL,64,2,2666666,5333336,112,33.028,4.661,72.618,0.000,26.556,9.161
4XL,64,3,112,0,0,0.065,0.022,0.000,,,
4XL,64,0,100000,5333332,2666666,1.822,1.084,51.906,0.000,13.491,9.373
4XL,64,1,2666666,5333332,2666666,24.095,5.616,53.851,0.000,11.925,5.596
4XL,64,2,2666666,5333336,112,24.506,4.957,71.985,0.000,25.097,7.937
4XL,64,3,112,0,0,0.070,0.021,0.000,,,
4XL,64,0,100000,5333332,2666666,2.683,1.176,52.284,0.000,13.098,9.920
4XL,64,1,2666666,5333332,2666666,21.203,5.112,53.630,0.000,11.663,5.403
4XL,64,2,2666666,5333336,112,23.668,4.859,71.444,0.000,24.926,7.827
4XL,64,3,112,0,0,0.071,0.022,0.000,,,
