file,expected,algorithm,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
demo.13.ground.smt2,,par_async,32,0,unsat,1.206338,0.052370,0.398540,0.434910,0.088530,0.000000,0.040430,
demo.13.ground.smt2,,par_async,64,0,unsat,1.506471,0.058360,0.577450,0.475680,0.115860,0.000000,0.089980,
demo.13.ground.smt2,,par_async,128,0,unsat,1.664802,0.058980,0.484290,0.681450,0.135850,0.000000,0.125650,
demo.13.ground.smt2,,par_async,144,0,unsat,1.360724,0.059640,0.425340,0.448810,0.116820,0.000000,0.134880,
demo.14.ground.smt2,,nelson_topo_iter,1,0,unsat,1.734009,0.086460,0.686640,0.603270,0.052980,0.000000,0.003830,
demo.14.ground.smt2,,nelson_simple,1,0,unsat,1.773558,0.088380,0.682920,0.625410,0.071700,0.000000,0.003960,
demo.14.ground.smt2,,par_async,1,0,unsat,2.467210,0.089950,1.084920,0.702660,0.299260,0.000000,0.002140,
demo.14.ground.smt2,,par_async,2,0,unsat,2.295224,0.088690,1.081330,0.662440,0.152490,0.000000,0.001410,
demo.14.ground.smt2,,par_async,4,0,unsat,1.759475,0.087420,0.685080,0.592740,0.089160,0.000000,0.001450,
demo.14.ground.smt2,,par_async,8,0,unsat,2.126084,0.090460,0.961350,0.692320,0.059760,0.000000,0.001960,
demo.14.ground.smt2,,par_async,16,0,unsat,1.658761,0.081580,0.642460,0.586580,0.044260,0.000000,0.002020,
demo.14.ground.smt2,,par_async,32,0,unsat,1.753481,0.088890,0.719020,0.592330,0.044610,0.000000,0.002090,
demo.14.ground.smt2,,par_async,64,0,unsat,2.265024,0.124540,1.041050,0.718890,0.055200,0.000000,0.003510,
demo.14.ground.smt2,,par_async,128,0,unsat,1.926518,0.093450,0.743970,0.701280,0.067740,0.000000,0.003400,
demo.14.ground.smt2,,par_async,144,0,unsat,1.972410,0.088050,0.709750,0.780270,0.072720,0.000000,0.003480,
demo.15.ground.smt2,,nelson_topo_iter,1,0,unsat,1.579810,0.081050,0.611900,0.556020,0.059810,0.000000,0.003250,
demo.15.ground.smt2,,nelson_simple,1,0,unsat,1.571974,0.081660,0.610460,0.538590,0.072050,0.000000,0.003400,
demo.15.ground.smt2,,par_async,1,0,unsat,1.957854,0.079930,0.744930,0.614370,0.259760,0.000000,0.001920,
demo.15.ground.smt2,,par_async,2,0,unsat,1.620897,0.081190,0.616130,0.516460,0.143060,0.000000,0.001430,
demo.15.ground.smt2,,par_async,4,0,unsat,2.061265,0.079430,0.980190,0.618540,0.119210,0.000000,0.001370,
demo.15.ground.smt2,,par_async,8,0,unsat,2.036782,0.096120,0.980830,0.604190,0.088570,0.000000,0.001730,
demo.15.ground.smt2,,par_async,16,0,unsat,2.068338,0.114340,0.969490,0.602530,0.074700,0.000000,0.002040,
demo.15.ground.smt2,,par_async,32,0,unsat,1.490352,0.079950,0.559270,0.518710,0.069670,0.000000,0.002160,
demo.15.ground.smt2,,par_async,64,0,unsat,1.538982,0.079800,0.550230,0.549730,0.091390,0.000000,0.003110,
demo.15.ground.smt2,,par_async,128,0,unsat,1.608422,0.080620,0.531700,0.626300,0.104320,0.000000,0.002870,
demo.15.ground.smt2,,par_async,144,0,unsat,1.989130,0.080120,0.636850,0.867630,0.120240,0.000000,0.004070,
demo.16.ground.smt2,,nelson_topo_iter,1,0,unsat,1.514966,0.077630,0.583510,0.543280,0.047450,0.000000,0.003340,
demo.16.ground.smt2,,nelson_simple,1,0,unsat,1.375650,0.065590,0.483840,0.511980,0.055400,0.000000,0.003400,
demo.16.ground.smt2,,par_async,1,0,unsat,1.538301,0.076480,0.504990,0.494500,0.204680,0.000000,0.001840,
demo.16.ground.smt2,,par_async,2,0,unsat,1.428472,0.069520,0.487260,0.498420,0.120910,0.000000,0.001220,
demo.16.ground.smt2,,par_async,4,0,unsat,1.406401,0.070540,0.496670,0.493390,0.095190,0.000000,0.001260,
