file,expected,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
arrays-ops.2.ground.smt2,,32,4,unsat,0.028531,0.000320,0.001390,0.009130,0.007820,0.000000,0.000050,
arrays-ops.2.ground.smt2,,64,0,unsat,0.043773,0.000250,0.001480,0.016590,0.012570,0.000000,0.000040,
arrays-ops.2.ground.smt2,,64,1,unsat,0.041003,0.000250,0.001400,0.013480,0.013090,0.000000,0.000040,
arrays-ops.2.ground.smt2,,64,2,unsat,0.043648,0.000240,0.001400,0.015130,0.013670,0.000000,0.000040,
arrays-ops.2.ground.smt2,,64,3,unsat,0.041850,0.000260,0.001430,0.015650,0.011750,0.000000,0.000060,
arrays-ops.2.ground.smt2,,64,4,unsat,0.042491,0.000250,0.001420,0.014710,0.012770,0.000000,0.000070,
arrays-ops.2.ground.smt2,,128,0,unsat,0.130417,0.000240,0.001410,0.038450,0.068510,0.000000,0.000050,
arrays-ops.2.ground.smt2,,128,1,unsat,0.111549,0.000240,0.001410,0.030910,0.059910,0.000000,0.000060,
arrays-ops.2.ground.smt2,,128,2,unsat,0.118777,0.000230,0.001410,0.034570,0.064500,0.000000,0.000050,
arrays-ops.2.ground.smt2,,128,3,unsat,0.135246,0.000240,0.001390,0.034110,0.079850,0.000000,0.000060,
arrays-ops.2.ground.smt2,,128,4,unsat,0.108124,0.000220,0.001440,0.034690,0.052750,0.000000,0.000050,
arrays-ops.3.ground.smt2,,1,0,unsat,0.008832,0.000370,0.001390,0.002650,0.000670,0.000000,0.000010,
arrays-ops.3.ground.smt2,,1,1,unsat,0.007806,0.000190,0.001420,0.002510,0.000650,0.000000,0.000010,
arrays-ops.3.ground.smt2,,1,2,unsat,0.008783,0.000230,0.001420,0.002470,0.000680,0.000000,0.000010,
arrays-ops.3.ground.smt2,,1,3,unsat,0.007667,0.000190,0.001430,0.002470,0.000660,0.000000,0.000010,
arrays-ops.3.ground.smt2,,1,4,unsat,0.007618,0.000180,0.001440,0.002480,0.000660,0.000000,0.000010,
arrays-ops.3.ground.smt2,,2,0,unsat,0.008850,0.000190,0.001430,0.002930,0.001100,0.000000,0.000050,
arrays-ops.3.ground.smt2,,2,1,unsat,0.010105,0.000240,0.001450,0.002980,0.001170,0.000000,0.000050,
arrays-ops.3.ground.smt2,,2,2,unsat,0.009862,0.000240,0.001410,0.002670,0.001130,0.000000,0.000040,
arrays-ops.3.ground.smt2,,2,3,unsat,0.009753,0.000240,0.001420,0.002650,0.001210,0.000000,0.000050,
arrays-ops.3.ground.smt2,,2,4,unsat,0.010576,0.000240,0.001420,0.003220,0.001190,0.000000,0.000050,
arrays-ops.3.ground.smt2,,4,0,unsat,0.010250,0.000210,0.001410,0.003640,0.001190,0.000000,0.000060,
arrays-ops.3.ground.smt2,,4,1,unsat,0.011452,0.000240,0.001430,0.003510,0.001510,0.000000,0.000060,
arrays-ops.3.ground.smt2,,4,2,unsat,0.010722,0.000230,0.001430,0.003020,0.001560,0.000000,0.000060,
arrays-ops.3.ground.smt2,,4,3,unsat,0.011676,0.000240,0.001430,0.003390,0.001890,0.000000,0.000060,
arrays-ops.3.ground.smt2,,4,4,unsat,0.009962,0.000220,0.001420,0.003060,0.001550,0.000000,0.000060,
arrays-ops.3.ground.smt2,,8,0,unsat,0.013169,0.000220,0.001430,0.003880,0.002890,0.000000,0.000060,
arrays-ops.3.ground.smt2,,8,1,unsat,0.012610,0.000220,0.001400,0.003980,0.002500,0.000000,0.000060,
arrays-ops.3.ground.smt2,,8,2,unsat,0.012257,0.000210,0.001430,0.004070,0.002230,0.000000,0.000060,
arrays-ops.3.ground.smt2,,8,3,unsat,0.012684,0.000220,0.001410,0.004320,0.002320,0.000000,0.000070,
arrays-ops.3.ground.smt2,,8,4,unsat,0.012173,0.000220,0.001480,0.003560,0.002480,0.000000,0.000070,
arrays-ops.3.ground.smt2,,16,0,unsat,0.017980,0.000230,0.001410,0.005480,0.004080,0.000000,0.000060,
arrays-ops.3.ground.smt2,,16,1,unsat,0.017242,0.000210,0.001400,0.005550,0.004120,0.000000,0.000060,
arrays-ops.3.ground.smt2,,16,2,unsat,0.017116,0.000220,0.001390,0.005410,0.004160,0.000000,0.000050,
arrays-ops.3.ground.smt2,,16,3,unsat,0.017605,0.000210,0.001400,0.005840,0.003950,0.000000,0.000060,
arrays-ops.3.ground.smt2,,16,4,unsat,0.016990,0.000210,0.001380,0.005620,0.003870,0.000000,0.000050,
arrays-ops.3.ground.smt2,,32,0,unsat,0.026383,0.000210,0.001400,0.009430,0.006850,0.000000,0.000060,
arrays-ops.3.ground.smt2,,32,1,unsat,0.024936,0.000230,0.001420,0.008870,0.005990,0.000000,0.000050,
arrays-ops.3.ground.smt2,,32,2,unsat,0.026349,0.000260,0.001530,0.006480,0.009400,0.000000,0.000050,
arrays-ops.3.ground.smt2,,32,3,unsat,0.025868,0.000230,0.001440,0.008910,0.006960,0.000000,0.000060,
arrays-ops.3.ground.smt2,,32,4,unsat,0.025291,0.000250,0.001430,0.007130,0.007490,0.000000,0.000050,
arrays-ops.3.ground.smt2,,64,0,unsat,0.040769,0.000240,0.001470,0.015220,0.011930,0.000000,0.000050,
arrays-ops.3.ground.smt2,,64,1,unsat,0.043414,0.000240,0.001430,0.015070,0.013780,0.000000,0.000070,
arrays-ops.3.ground.smt2,,64,2,unsat,0.045845,0.000250,0.001430,0.017230,0.013400,0.000000,0.000050,
arrays-ops.3.ground.smt2,,64,3,unsat,0.043051,0.000240,0.001470,0.016500,0.012170,0.000000,0.000070,
arrays-ops.3.ground.smt2,,64,4,unsat,0.040931,0.000250,0.001450,0.015930,0.011370,0.000000,0.000040,
arrays-ops.3.ground.smt2,,128,0,unsat,0.125428,0.000270,0.001470,0.042300,0.061030,0.000000,0.000070,
arrays-ops.3.ground.smt2,,128,1,unsat,0.094093,0.000250,0.001460,0.042020,0.031880,0.000000,0.000070,
arrays-ops.3.ground.smt2,,128,2,unsat,0.116566,0.000230,0.001430,0.031050,0.064200,0.000000,0.000080,
arrays-ops.3.ground.smt2,,128,3,unsat,0.113763,0.000270,0.001510,0.037890,0.053580,0.000000,0.000060,
arrays-ops.3.ground.smt2,,128,4,unsat,0.124852,0.000220,0.001420,0.033450,0.068730,0.000000,0.000060,
arrays-ops.4.ground.smt2,,1,0,unsat,0.009669,0.000400,0.001820,0.002740,0.000670,0.000000,0.000010,
arrays-ops.4.ground.smt2,,1,1,unsat,0.008431,0.000220,0.001800,0.002700,0.000640,0.000000,0.000010,
arrays-ops.4.ground.smt2,,1,2,unsat,0.009261,0.000260,0.001790,0.002670,0.000660,0.000000,0.000010,
