[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.049s parse=0.039s build=0.154s
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.020ms frontier=  0.004ms semisort=  0.025ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.020ms frontier=  0.003ms semisort=  0.062ms (keyed= 0.002ms group_by=  0.017ms per_group= 0.024ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.013ms frontier=  0.003ms semisort=  0.033ms (keyed= 0.002ms group_by=  0.009ms per_group= 0.007ms)
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate=124.526ms frontier= 14.421ms semisort= 31.679ms (keyed= 6.534ms group_by=  0.884ms per_group= 3.156ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.975ms frontier=  0.203ms semisort=  2.499ms (keyed= 0.045ms group_by=  1.252ms per_group= 0.508ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  1.017ms frontier=  0.165ms semisort=  2.585ms (keyed= 0.026ms group_by=  1.614ms per_group= 0.386ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.673ms frontier=  0.131ms semisort=  1.353ms (keyed= 0.027ms group_by=  0.685ms per_group= 0.258ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.281ms frontier=  0.148ms semisort=  0.579ms (keyed= 0.023ms group_by=  0.219ms per_group= 0.134ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.701ms frontier=  0.096ms semisort=  0.885ms (keyed= 0.016ms group_by=  0.596ms per_group= 0.138ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.255ms frontier=  0.069ms semisort=  0.428ms (keyed= 0.010ms group_by=  0.251ms per_group= 0.060ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.118ms frontier=  0.022ms semisort=  0.199ms (keyed= 0.004ms group_by=  0.074ms per_group= 0.045ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.058ms frontier=  0.013ms semisort=  0.182ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.064ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.057ms frontier=  0.009ms semisort=  0.101ms (keyed= 0.002ms group_by=  0.033ms per_group= 0.028ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.077ms frontier=  0.007ms semisort=  0.091ms (keyed= 0.002ms group_by=  0.021ms per_group= 0.044ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.039ms frontier=  0.007ms semisort=  0.070ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.029ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.033ms frontier=  0.006ms semisort=  0.068ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.028ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.026ms frontier=  0.005ms semisort=  0.061ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.023ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.030ms frontier=  0.004ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.014ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.024ms frontier=  0.002ms semisort=  0.025ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.015ms frontier=  0.003ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.015ms frontier=  0.001ms semisort=  0.041ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.016ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.022ms frontier=  0.004ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.014ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.028ms frontier=  0.005ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.012ms)
