workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
medium,10000,8,200000,20000,1,nelson_seq,4,4,dnc,16,77.3449
medium,10000,8,200000,20000,1,par_close,0,4,dnc,16,49.7843
medium,10000,8,200000,20000,1,par_close,1,4,dnc,16,49.2638
medium,10000,8,200000,20000,1,par_close,2,4,dnc,16,53.8088
medium,10000,8,200000,20000,1,par_close,3,4,dnc,16,46.5884
medium,10000,8,200000,20000,1,par_close,4,4,dnc,16,44.3486
large,50000,16,1000000,100000,1,nelson_seq,0,4,dnc,16,972.5328
large,50000,16,1000000,100000,1,nelson_seq,1,4,dnc,16,930.2372
large,50000,16,1000000,100000,1,nelson_seq,2,4,dnc,16,899.9955
large,50000,16,1000000,100000,1,nelson_seq,3,4,dnc,16,763.0425
large,50000,16,1000000,100000,1,nelson_seq,4,4,dnc,16,749.5955
large,50000,16,1000000,100000,1,par_close,0,4,dnc,16,225.0639
large,50000,16,1000000,100000,1,par_close,1,4,dnc,16,214.5241
large,50000,16,1000000,100000,1,par_close,2,4,dnc,16,220.4217
large,50000,16,1000000,100000,1,par_close,3,4,dnc,16,218.3583
large,50000,16,1000000,100000,1,par_close,4,4,dnc,16,220.8392
deep-s,1000,4,10000,2000,3,nelson_seq,0,4,dnc,16,2.4503
deep-s,1000,4,10000,2000,3,nelson_seq,1,4,dnc,16,2.3664
deep-s,1000,4,10000,2000,3,nelson_seq,2,4,dnc,16,2.3736
deep-s,1000,4,10000,2000,3,nelson_seq,3,4,dnc,16,2.5222
deep-s,1000,4,10000,2000,3,nelson_seq,4,4,dnc,16,2.3588
deep-s,1000,4,10000,2000,3,par_close,0,4,dnc,16,2.7189
deep-s,1000,4,10000,2000,3,par_close,1,4,dnc,16,2.7371
deep-s,1000,4,10000,2000,3,par_close,2,4,dnc,16,2.5826
deep-s,1000,4,10000,2000,3,par_close,3,4,dnc,16,2.6600
deep-s,1000,4,10000,2000,3,par_close,4,4,dnc,16,2.5731
deep-m,10000,8,200000,20000,3,nelson_seq,0,4,dnc,16,77.2717
deep-m,10000,8,200000,20000,3,nelson_seq,1,4,dnc,16,76.6795
deep-m,10000,8,200000,20000,3,nelson_seq,2,4,dnc,16,77.0882
deep-m,10000,8,200000,20000,3,nelson_seq,3,4,dnc,16,84.4915
deep-m,10000,8,200000,20000,3,nelson_seq,4,4,dnc,16,85.1962
deep-m,10000,8,200000,20000,3,par_close,0,4,dnc,16,50.6718
deep-m,10000,8,200000,20000,3,par_close,1,4,dnc,16,49.1891
deep-m,10000,8,200000,20000,3,par_close,2,4,dnc,16,52.5622
deep-m,10000,8,200000,20000,3,par_close,3,4,dnc,16,50.3174
deep-m,10000,8,200000,20000,3,par_close,4,4,dnc,16,49.0355
deep-l,50000,16,1000000,100000,3,nelson_seq,0,4,dnc,16,677.5045
deep-l,50000,16,1000000,100000,3,nelson_seq,1,4,dnc,16,688.1253
deep-l,50000,16,1000000,100000,3,nelson_seq,2,4,dnc,16,680.5722
deep-l,50000,16,1000000,100000,3,nelson_seq,3,4,dnc,16,709.1096
deep-l,50000,16,1000000,100000,3,nelson_seq,4,4,dnc,16,681.7604
deep-l,50000,16,1000000,100000,3,par_close,0,4,dnc,16,172.7343
deep-l,50000,16,1000000,100000,3,par_close,1,4,dnc,16,174.3175
deep-l,50000,16,1000000,100000,3,par_close,2,4,dnc,16,171.6059
deep-l,50000,16,1000000,100000,3,par_close,3,4,dnc,16,172.5861
deep-l,50000,16,1000000,100000,3,par_close,4,4,dnc,16,181.3348
