file,suite,n_gates,n_literals,n_not_terms,total_classes,algorithm,trial,parlay_threads,read_s,parse_s,build_s,close_ms
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_parents,1,1,0.172354,0.129115,0.275194,1475.4821
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_parents,2,1,0.172354,0.129115,0.275194,1500.2450
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_parents,3,1,0.172354,0.129115,0.275194,1551.9878
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_parents,4,1,0.172354,0.129115,0.275194,1549.6431
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_filter,0,1,0.172354,0.129115,0.275194,276.5934
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_filter,1,1,0.172354,0.129115,0.275194,277.6297
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_filter,2,1,0.172354,0.129115,0.275194,275.1594
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_filter,3,1,0.172354,0.129115,0.275194,275.4854
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_filter,4,1,0.172354,0.129115,0.275194,275.3759
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,nelson_simple,0,1,0.142454,0.114480,0.194169,223.0926
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,nelson_simple,1,1,0.142454,0.114480,0.194169,216.9165
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,nelson_simple,2,1,0.142454,0.114480,0.194169,215.9752
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,nelson_simple,3,1,0.142454,0.114480,0.194169,214.7319
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,nelson_simple,4,1,0.142454,0.114480,0.194169,213.9752
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_parents,0,1,0.142454,0.114480,0.194169,916.3411
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_parents,1,1,0.142454,0.114480,0.194169,965.1726
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_parents,2,1,0.142454,0.114480,0.194169,977.7186
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_parents,3,1,0.142454,0.114480,0.194169,1004.2148
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_parents,4,1,0.142454,0.114480,0.194169,1015.5556
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_filter,0,1,0.142454,0.114480,0.194169,187.3047
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_filter,1,1,0.142454,0.114480,0.194169,186.8315
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_filter,2,1,0.142454,0.114480,0.194169,185.6536
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_filter,3,1,0.142454,0.114480,0.194169,186.0012
h5m-test01-xits.gates,iwls22_with_not,1112914,589597,270675,1973186,par_filter,4,1,0.142454,0.114480,0.194169,186.3285
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,nelson_simple,0,1,0.445213,0.353233,0.673695,942.7156
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,nelson_simple,1,1,0.445213,0.353233,0.673695,948.2270
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,nelson_simple,2,1,0.445213,0.353233,0.673695,960.1695
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,nelson_simple,3,1,0.445213,0.353233,0.673695,956.1260
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,nelson_simple,4,1,0.445213,0.353233,0.673695,955.7870
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_parents,0,1,0.445213,0.353233,0.673695,3546.6489
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_parents,1,1,0.445213,0.353233,0.673695,3715.0822
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_parents,2,1,0.445213,0.353233,0.673695,3772.4962
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_parents,3,1,0.445213,0.353233,0.673695,3856.3717
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_parents,4,1,0.445213,0.353233,0.673695,3865.4012
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_filter,0,1,0.445213,0.353233,0.673695,800.1055
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_filter,1,1,0.445213,0.353233,0.673695,812.8384
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_filter,2,1,0.445213,0.353233,0.673695,803.0681
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_filter,3,1,0.445213,0.353233,0.673695,799.8412
h5m-test02-ands.gates,iwls22_with_not,3476413,2446158,984808,6907379,par_filter,4,1,0.445213,0.353233,0.673695,798.0879
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,nelson_simple,0,1,0.381162,0.306813,0.512010,643.6733
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,nelson_simple,1,1,0.381162,0.306813,0.512010,648.2849
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,nelson_simple,2,1,0.381162,0.306813,0.512010,646.5981
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,nelson_simple,3,1,0.381162,0.306813,0.512010,642.3747
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,nelson_simple,4,1,0.381162,0.306813,0.512010,641.4667
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_parents,0,1,0.381162,0.306813,0.512010,2337.3427
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_parents,1,1,0.381162,0.306813,0.512010,2475.6804
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_parents,2,1,0.381162,0.306813,0.512010,2533.3456
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_parents,3,1,0.381162,0.306813,0.512010,2551.8650
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_parents,4,1,0.381162,0.306813,0.512010,2551.2746
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_filter,0,1,0.381162,0.306813,0.512010,619.8967
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_filter,1,1,0.381162,0.306813,0.512010,616.4432
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_filter,2,1,0.381162,0.306813,0.512010,617.7345
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_filter,3,1,0.381162,0.306813,0.512010,617.0278
h5m-test02-xits.gates,iwls22_with_not,2740997,1336652,613910,4691559,par_filter,4,1,0.381162,0.306813,0.512010,617.1958
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,nelson_simple,0,1,0.452799,0.367768,0.766305,1173.4714
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,nelson_simple,1,1,0.452799,0.367768,0.766305,1167.4820
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,nelson_simple,2,1,0.452799,0.367768,0.766305,1204.8776
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,nelson_simple,3,1,0.452799,0.367768,0.766305,1221.0416
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,nelson_simple,4,1,0.452799,0.367768,0.766305,1209.5205
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_parents,0,1,0.452799,0.367768,0.766305,4397.1379
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_parents,1,1,0.452799,0.367768,0.766305,4580.7034
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_parents,2,1,0.452799,0.367768,0.766305,4661.4075
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_parents,3,1,0.452799,0.367768,0.766305,4684.2814
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_parents,4,1,0.452799,0.367768,0.766305,4716.0889
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_filter,0,1,0.452799,0.367768,0.766305,1745.4231
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_filter,1,1,0.452799,0.367768,0.766305,1750.0798
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_filter,2,1,0.452799,0.367768,0.766305,1748.4654
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_filter,3,1,0.452799,0.367768,0.766305,1745.4027
6s100-ands-opt.gates,hwmcc12_with_not,3442638,3040530,1304136,7787304,par_filter,4,1,0.452799,0.367768,0.766305,1738.5898
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,nelson_simple,0,1,0.461544,0.379136,0.713518,1075.6835
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,nelson_simple,1,1,0.461544,0.379136,0.713518,1066.8191
