[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.054s parse=0.059s build=0.189s
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.034ms frontier=  0.004ms semisort=  0.133ms (keyed= 0.002ms group_by=  0.040ms per_group= 0.057ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.024ms frontier=  0.003ms semisort=  0.054ms (keyed= 0.001ms group_by=  0.016ms per_group= 0.013ms)
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate= 46.977ms frontier=  9.478ms semisort= 19.491ms (keyed= 6.286ms group_by=  0.474ms per_group= 5.380ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.879ms frontier=  0.238ms semisort=  3.395ms (keyed= 0.063ms group_by=  2.405ms per_group= 0.467ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.747ms frontier=  0.242ms semisort=  2.682ms (keyed= 0.027ms group_by=  1.987ms per_group= 0.289ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.576ms frontier=  0.212ms semisort=  2.050ms (keyed= 0.046ms group_by=  1.399ms per_group= 0.293ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.252ms frontier=  0.215ms semisort=  1.003ms (keyed= 0.038ms group_by=  0.610ms per_group= 0.170ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.633ms frontier=  0.150ms semisort=  1.582ms (keyed= 0.023ms group_by=  1.264ms per_group= 0.144ms)
